Date,Name,,Ratings,Dugan Ratings,Name,Year,Name,Review,Watched Date,Name,Liked
2025-07-23,Flora and Son,,3,6,Ice Age: Dawn of the Dinosaurs,2009,,,,,
2025-07-24,Safe Men,,2,4,Meet the Robinsons,2007,,,,,
2025-07-25,Vertigo,,3,6,Toy Story 2,1999,,,,,
2025-07-29,Happy Gilmore 2,,2.5,5,Brave,2012,,,,,
2025-07-29,Boxcar Bertha,,1.5,3,Cars 3,2017,,,,,
2025-08-01,Face/Off,,4,8,Elvis,2022,,,,,
2025-08-03,Five Corners,,1,2,The Polar Express,2004,,,,,
2025-08-04,Animal Kingdom,,3.5,7,Borat Subsequent Moviefilm,2020,,,,,
2025-08-05,Wonderwall,,1,2,The Simpsons Movie,2007,,,,,
2025-08-05,Castle in the Sky,,3.5,7,Captain Phillips,2013,,,,,
2025-08-06,The Fantastic 4: First Steps,,3.5,7,Big,1988,,,,,
2025-08-07,Mary and Max,,4,8,Saving Mr. Banks,2013,,,,,
2025-08-07,It's Alive,,1.5,3,Bachelor Party,1984,,,,,
2025-08-07,The Hidden,,2.5,5,The Santa Clause,1994,,,,,
2025-08-08,Cars,,3,6,The Santa Clause 2,2002,,,,,
2025-08-11,Legend,,1.5,3,The Santa Clause 3: The Escape Clause,2006,,,,,
2025-08-12,Wolfs,,3,6,Buzz Lightyear of Star Command: The Adventure Begins,2000,,,,,
2025-08-12,I Married a Witch,,2.5,5,School of Rock,2003,,,,,
2025-08-13,From Up on Poppy Hill,,4,8,Popstar: Never Stop Never Stopping,2016,,,,,
2025-08-14,Zodiac,,4,8,Arthur Christmas,2011,,,,,
2025-08-15,Weapons,,4,8,Let It Snow,2019,,,,,
2025-08-15,The Conversation,,4.5,9,Mars Needs Moms,2011,,,,,
2025-08-19,Ponyo,,3,6,X-Men: Days of Future Past,2014,,,,,
2025-08-20,Valley Girl,,1,2,X-Men: The Last Stand,2006,,,,,
2025-08-21,The Seventh Seal,,3,6,Storks,2016,,,,,
2025-08-22,Punch-Drunk Love,,4,8,Ghostbusters,1984,,,,,
2025-08-22,DodgeBall: A True Underdog Story,,3.5,7,Split,2016,,,,,
2025-08-23,Sexy Beast,,3.5,7,Batman v Superman: Dawn of Justice,2016,,,,,
2025-08-23,From Dusk Till Dawn,,1.5,3,Man of Steel,2013,,,,,
2025-08-25,Sing Sing,,3.5,7,Mission: Impossible III,2006,,,,,
2025-08-27,The Player,,4,8,Fantastic Four: Rise of the Silver Surfer,2007,,,,,
2025-08-27,Heat,,4.5,9,In Time,2011,,,,,
2025-08-28,The Party,,2.5,5,Alpha Dog,2006,,,,,
2025-08-29,Lost in Translation,,4,8,The Love Guru,2008,,,,,
2025-09-02,Paper Moon,,3.5,7,Green Room,2015,,,,,
2025-09-07,Hoodwinked!,,2.5,5,Star Trek,2009,,,,,
2025-09-08,The Parallax View,,3,6,Star Trek Into Darkness,2013,,,,,
2025-09-11,Phantasm,,2,4,The Smurfs,2011,,,,,
2025-09-12,Network,,4.5,9,The Disaster Artist,2017,,,,,
2025-09-15,"Mickey, Donald, Goofy: The Three Musketeers",,3,6,Babylon,2022,,,,,
2025-09-15,A Little Romance,,4,8,The Fifth Element,1997,,,,,
2025-09-17,The Lego Movie,,4,8,Twelve Monkeys,1995,,,,,
2025-09-23,My Neighbors the Yamadas,,2,4,Unbreakable,2000,,,,,
2025-09-25,God Help the Girl,,2.5,5,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,,,,,
2025-09-26,The Jericho Mile,,2.5,5,X-Men: First Class,2011,,,,,
2025-10-01,Chinatown,,4,8,Gnomeo & Juliet,2011,,,,,
2025-10-02,One Battle After Another,,4.5,9,The Last Airbender,2010,,,,,
