Date,Name,Ratings,Dugan Ratings,Name.1,Year,Name.2,Review,Name.3,Liked
06/20/2023,(500) Days of Summer,4.0,8.0,(500) Days of Summer,2009,10 Things I Hate About You,That was a really confusing way for Joey to gift Kat a guitar,(500) Days of Summer,Yes
07/08/2025,10 Things I Hate About You,3.5,7.0,10 Things I Hate About You,1999,12 Angry Men,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",10 Things I Hate About You,Yes
06/06/2025,Mad God,4.5,9.0,Edward Scissorhands,1990,The Star Wars Holiday Special,"Truly horrible, volcano head man is the worst character ever created even with just 2 minutes of screen time.",Wolfwalkers,Yes
04/27/2021,Mad Max: Fury Road,4.0,8.0,Election,1999,The Stepford Wives,"Good message, good premise, BORING. Slow burn with no scenes that hit hard or are memorable enough to remember a week from now",Won't You Be My Neighbor?,Yes
05/16/2024,Maestro,2.5,5.0,Elemental,2023,The Straight Story,Felt like driving 2 hours without a car radio,You're Next,Yes
10/19/2025,Manhunter,4.0,8.0,Elf,2003,The Substance,"What da hell, thought watching the Fly would prepare me but it did not. Love to see the return of practical effects like this though😌",Zodiac,Yes
08/27/2024,Manos: The Hands of Fate,0.5,1.0,Elio,2025,The Texas Chain Saw Massacre,"Can I get a hell yeah for Franklin getting sawed in half, I audibly clapped during it. Murdering Psychopath > annoying ass Franklin",Zootopia 2,Yes
04/27/2021,Marriage Story,4.0,8.0,Ella Enchanted,2004,The Thing,So excited to watch 3 documentaries about how this was made,,
12/27/2025,Marty Supreme,3.5,7.0,Elvis,2022,The Tune,That lovesick hotel song is a banger. Could’ve been 50 minutes instead but a fun watch,,
08/07/2025,Mary and Max,4.0,8.0,Emilia Pérez,2024,The Warriors,"CAN YOU DIG IT? Stole the whole movie with 2 minutes of screen time, most impressive thing I’ve ever seen",,
06/20/2023,Me Time,2.0,4.0,Encanto,2021,The Wild Robot,They should make a museum solely for every single frame in this,,
05/17/2025,Megamind,3.5,7.0,Ender's Game,2013,The Year Without a Santa Claus,"Snow Miser supremacy.

SM: “friends call me Snow Miser”
HM: “they call me Heat Miser”

🤣🫵he doesn’t even have friends",,
