Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-08-19,Ponyo,2008,https://boxd.it/aMOjaL,3,,,2025-08-18
2025-08-20,Valley Girl,1983,https://boxd.it/aNwezz,1,,,2025-08-20
2025-08-21,The Seventh Seal,1957,https://boxd.it/aO3EWP,3,,,2025-08-20
2025-08-21,Punch-Drunk Love,2002,https://boxd.it/aOddrv,4.5,,,2025-08-21
2025-08-22,DodgeBall: A True Underdog Story,2004,https://boxd.it/aOPlTt,3.5,Yes,,2025-08-22
2025-08-23,Sexy Beast,2000,https://boxd.it/aP3lsZ,3.5,,,2025-08-22
2025-08-23,From Dusk Till Dawn,1996,https://boxd.it/aPyAcf,1.5,,,2025-08-23
2025-08-25,Sing Sing,2023,https://boxd.it/aR7lrD,3.5,,,2025-08-24
2025-08-27,The Player,1992,https://boxd.it/aS0n39,4,,,2025-08-26
2025-08-27,Heat,1995,https://boxd.it/aSsajT,4.5,,,2025-08-26
2025-08-28,The Party,1968,https://boxd.it/aT5h1F,2.5,,,2025-08-28
2025-08-29,Lost in Translation,2003,https://boxd.it/aTII1Z,4,,,2025-08-29
2025-09-02,Paper Moon,1973,https://boxd.it/aWx7At,3.5,,,2025-09-01
2025-09-07,Hoodwinked!,2005,https://boxd.it/aZM47l,2.5,,,2025-09-07
2025-09-08,The Parallax View,1974,https://boxd.it/b0y05V,3,,,2025-09-07
2025-09-11,Phantasm,1979,https://boxd.it/b2guAB,2,,,2025-09-10
2025-09-12,Network,1976,https://boxd.it/b2Fjyf,4.5,,,2025-09-11
2025-09-15,"Mickey, Donald, Goofy: The Three Musketeers",2004,https://boxd.it/b4GVwL,3,Yes,,2025-09-14
2025-09-15,A Little Romance,1979,https://boxd.it/b4LBif,4,,,2025-09-14
2025-09-17,The Lego Movie,2014,https://boxd.it/b5UNcP,4,Yes,,2025-09-16
2025-09-23,My Neighbors the Yamadas,1999,https://boxd.it/b9FVsH,2,,,2025-09-23
2025-09-25,God Help the Girl,2014,https://boxd.it/bavcS5,2.5,,,2025-09-24
2025-09-26,The Jericho Mile,1979,https://boxd.it/bb7cMx,2.5,,,2025-09-25
2025-10-01,Chinatown,1974,https://boxd.it/be9Mh7,4,,,2025-09-30
2025-10-02,One Battle After Another,2025,https://boxd.it/beDfsV,4.5,,,2025-10-01
2025-10-03,Serpico,1973,https://boxd.it/bfd5ij,4,,,2025-10-02
2025-10-03,Klute,1971,https://boxd.it/bfs5wl,2,,,2025-10-03
2025-10-06,Duck Soup,1933,https://boxd.it/bhwrzx,3,,,2025-10-05
2025-10-07,Trick 'r Treat,2007,https://boxd.it/bi436z,3.5,Yes,,2025-10-06
2025-10-08,The Night Evelyn Came Out of the Grave,1971,https://boxd.it/biJB0R,0.5,,,2025-10-07
2025-10-09,The Texas Chain Saw Massacre,1974,https://boxd.it/bjmzIl,3.5,,,2025-10-09
2025-10-11,You're Next,2011,https://boxd.it/bk91Qt,3.5,,,2025-10-10
2025-10-12,Scream,1996,https://boxd.it/bl9JqN,4,,profile,2025-10-11
2025-10-14,The Descent,2005,https://boxd.it/bmklun,3.5,,,2025-10-13
2025-10-14,Over the Garden Wall,2014,https://boxd.it/bmzxWt,4,,,2025-10-13
2025-10-14,The Stepford Wives,1975,https://boxd.it/bmHKn3,2,,,2025-10-13
2025-10-15,The Fly,1986,https://boxd.it/bnkNhF,4.5,,,2025-10-15
2025-10-16,The Substance,2024,https://boxd.it/bnPh7Z,3.5,,,2025-10-15
2025-10-16,Death of a Unicorn,2025,https://boxd.it/bnVJ3t,1.5,,,2025-10-16
2025-10-17,Midsommar,2019,https://boxd.it/boeG5T,3.5,,,2025-10-16
2025-10-19,Manhunter,1986,https://boxd.it/bpVOe5,4,,,2025-10-19
2025-10-21,It's What's Inside,2024,https://boxd.it/bqVoAD,3.5,,,2025-10-20
2025-10-22,Bram Stoker's Dracula,1992,https://boxd.it/brA6ln,2.5,,,2025-10-21
2025-10-22,Scary Godmother: Halloween Spooktakular,2003,https://boxd.it/brXYAn,3.5,Yes,,2025-10-21
2025-10-23,Children Shouldn't Play with Dead Things,1972,https://boxd.it/bszfIR,1,,,2025-10-23
2025-10-24,Alien,1979,https://boxd.it/btb1Ul,4.5,,,2025-10-24
2025-10-25,Braindead,1992,https://boxd.it/btIbid,3,,,2025-10-24
2025-10-28,Halloween,1978,https://boxd.it/bwdE7t,3.5,,,2025-10-28
2025-10-29,Don't Look in the Basement,1973,https://boxd.it/bwQHvr,1,,,2025-10-28
2025-10-30,Halloweentown,1998,https://boxd.it/bx82ix,2.5,,,2025-10-29
2025-10-30,Hocus Pocus,1993,https://boxd.it/bxdM55,4,,,2025-10-29
2025-10-31,Rosemary's Baby,1968,https://boxd.it/bxZk0R,4.5,,,2025-10-30
2025-11-04,Isle of Dogs,2018,https://boxd.it/bAPUeH,4.5,,,2025-11-03
2025-11-04,The Warriors,1979,https://boxd.it/bBgkpj,4,,,2025-11-04
2025-11-05,King of New York,1990,https://boxd.it/bBPnMv,2.5,,,2025-11-05
2025-11-07,The Naked Gun,2025,https://boxd.it/bCKoV3,3.5,,,2025-11-06
2025-11-13,Popstar: Never Stop Never Stopping,2016,https://boxd.it/bHjt8B,3,,,2025-11-13
2025-11-18,Edward Scissorhands,1990,https://boxd.it/bKUtMd,3,,,2025-11-18
2025-11-21,Small Things Like These,2024,https://boxd.it/bMeoY3,2.5,,,2025-11-20
2025-11-24,Labyrinth,1986,https://boxd.it/bP5Io9,2,,,2025-11-23
2025-11-26,Killer's Kiss,1955,https://boxd.it/bQpsIB,1.5,,,2025-11-26
2025-11-30,Sorcerer,1977,https://boxd.it/bSXjuh,4,,,2025-11-29
2025-12-01,The Incredible Melting Man,1977,https://boxd.it/bTfpUL,2,,,2025-11-30
2025-12-01,Don't Worry Darling,2022,https://boxd.it/bTH3GD,3,,,2025-11-30
2025-12-01,Sisu: Road to Revenge,2025,https://boxd.it/bTPbQd,3.5,,,2025-12-01
2025-12-02,Krampus,2015,https://boxd.it/bUfQth,1.5,,,2025-12-01
2025-12-02,Wicked,2024,https://boxd.it/bUsZnt,4,Yes,,2025-12-02
2025-12-03,Wicked: For Good,2025,https://boxd.it/bUYLhb,3.5,,,2025-12-02
2025-12-05,Bad Santa,2003,https://boxd.it/bW1BwP,3,,,2025-12-04
2025-12-08,Gremlins,1984,https://boxd.it/bYupTX,3.5,,,2025-12-08
2025-12-09,A Muppet Family Christmas,1987,https://boxd.it/bZ1teF,4,,,2025-12-08
2025-12-12,The Year Without a Santa Claus,1974,https://boxd.it/c0T5Gd,4,Yes,,2025-12-11
2025-12-13,Scrooged,1988,https://boxd.it/c1G3aR,1.5,,,2025-12-12
2025-12-14,Santa Claus Is Comin' to Town,1970,https://boxd.it/c2lKEn,3.5,Yes,,2025-12-13
2025-12-14,The Christmas Tree,1991,https://boxd.it/c2vLh5,1,,,2025-12-13
2025-12-15,Four Christmases,2008,https://boxd.it/c3yA4T,3,,,2025-12-14
2025-12-17,The Apartment,1960,https://boxd.it/c5lVZ9,4,,,2025-12-17
2025-12-19,Tokyo Godfathers,2003,https://boxd.it/c79lxn,3.5,,,2025-12-19
2025-12-22,How the Grinch Stole Christmas,2000,https://boxd.it/caqxKT,4,Yes,,2025-12-21
2025-12-24,Miracle on 34th Street,1994,https://boxd.it/cbP1Lz,3,,,2025-12-23
2025-12-27,Marty Supreme,2025,https://boxd.it/cg7iGX,3.5,,,2025-12-26
2025-12-28,Wake Up Dead Man,2025,https://boxd.it/cgwvsT,4,,,2025-12-27
2025-12-28,Black Bag,2025,https://boxd.it/chisgV,3.5,,,2025-12-27
2025-12-29,Sovereign,2025,https://boxd.it/chPh2f,3.5,,,2025-12-28
2025-12-29,Everybody Wants Some!!,2016,https://boxd.it/ciDjwL,4,,,2025-12-28
2026-01-03,Warfare,2025,https://boxd.it/cnPKrH,3.5,,,2026-01-02
2026-01-03,The Rapsittie Street Kids: Believe in Santa,2002,https://boxd.it/cpdNUJ,0.5,,,2026-01-03
2026-01-04,Train Dreams,2025,https://boxd.it/cpZayP,4,,,2026-01-03
2026-01-05,The Edge of Seventeen,2016,https://boxd.it/cslkub,4,,,2026-01-04
2026-01-06,Frankenstein,2025,https://boxd.it/ctsslf,3,,,2026-01-05
2026-01-06,Pom Poko,1994,https://boxd.it/ctR7bX,3,,,2026-01-05
2026-01-07,Train to Busan,2016,https://boxd.it/cuY3ZH,3.5,,,2026-01-06
2026-01-08,Bugonia,2025,https://boxd.it/cvPXmR,3,,,2026-01-07
2026-01-08,Shiva Baby,2020,https://boxd.it/cw8rFF,3.5,,,2026-01-07
