Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-04-30,Blue Ruin,2013,https://boxd.it/9yMqif,3,,Ben killing Ted is the biggest act of friendship ever made in a movie,,2025-04-30
2025-05-02,Beavis and Butt-Head Do America,1996,https://boxd.it/9zUCk3,3.5,,One day I’ll like my job as much as that lady likes doing cavity searches,,2025-05-02
2025-05-03,Amélie,2001,https://boxd.it/9AudoB,4,,Gonna double feature this with Kiki delivery service for the most wholesome 4 hours of my life,,2025-05-03
2025-05-06,Trap,2024,https://boxd.it/9CzUUX,1.5,,"Gay blonde Kid Cudi isn’t real, he can’t hurt you. Gay blonde Kid Cudi:",,2025-05-06
2025-05-07,Seven Samurai,1954,https://boxd.it/9D4TDt,4.5,,Woah.. feel like I just watched a full season of a tv show. This got me unbelievably hype to watch Ran next,,2025-05-07
2025-05-08,Come and See,1985,https://boxd.it/9DuXfd,3,,"They must’ve hired an 80 year old to play him at the end, that cannot be the same guy",,2025-05-07
2025-05-12,Thriller: A Cruel Picture,1973,https://boxd.it/9FRKqr,1,,Tarantino is a freak for requesting Daryl Hannah watch this for her role,,2025-05-12
2025-05-13,The Foot Fist Way,2006,https://boxd.it/9Goxcx,1.5,,This feels like a Danny McBride side character got a spinoff movie,,2025-05-12
2025-05-14,Tombstone,1993,https://boxd.it/9GPaFP,3.5,,Love the Cowboy killing Highlight reels,,2025-05-13
2025-05-14,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/9GX1Qv,4,,Is it sad I would watch a 5 hour cut of Inside?,,2025-05-14
2025-05-15,Poor Things,2023,https://boxd.it/9Ht6h5,3.5,,Don’t ask me why but this has similarities to Fritz the Cat,,2025-05-15
2025-05-17,My Neighbor Totoro,1988,https://boxd.it/9IcY79,5,,I would’ve never thought I would watch a Miyazaki that would rival Porco Rosso,,2025-05-16
2025-05-17,Thunderbolts*,2025,https://boxd.it/9IouID,3,,No wonder Sam wants to make a different team this one almost lost to a wall,,2025-05-16
2025-05-18,Ran,1985,https://boxd.it/9J9H6r,3.5,,"I got giddy every time Lady Kaede was on screen, she insane",,2025-05-18
2025-05-19,A Fish Called Wanda,1988,https://boxd.it/9JNKgz,4,,"Hate to say it but wished the old lady had 10 more dogs for Ken, every scene with them was 10/10",,2025-05-18
2025-05-20,Shrek Forever After,2010,https://boxd.it/9KqdPJ,2.5,,Feels like a TV special. Also does my boy Puss so wrong,,2025-05-20
2025-05-22,Tetris,2023,https://boxd.it/9LtUij,4,,"Behind white boy coming of age movies, product success story movies are my biggest guilty pleasures",,2025-05-21
2025-05-27,Inside Moves,1980,https://boxd.it/9OQkZp,2.5,,Why everybody touching each other in this? You can say a line without grabbing their shoulder,,2025-05-27
2025-05-28,Altered States,1980,https://boxd.it/9PsjkL,3.5,,Bonkers movie.. how science gonna explain how my guy turned into a whirlpool?,,2025-05-28
2025-05-29,Ted 2,2015,https://boxd.it/9PYwHH,1.5,,Shoutout Matt Wible for having the craziest pick I’ve heard for favorite movie,,2025-05-28
2025-05-29,The Fog,1980,https://boxd.it/9Q2s6P,3,,I imagine Carpenter is smiling the entire time playing the synthesizer,,2025-05-29
